date,value
16-8-2016,162.155
17-8-2016,164.501
18-8-2016,163.999
19-8-2016,167.198
20-8-2016,163.942
21-8-2016,162.619
22-8-2016,163.356
23-8-2016,162.533
24-8-2016,162.681
25-8-2016,162.808
26-8-2016,168.83
27-8-2016,170.526
28-8-2016,170.021
29-8-2016,173.063
30-8-2016,178.286
31-8-2016,182.124
1-9-2016,181.97
2-9-2016,179.917
3-9-2016,177.26
4-9-2016,174.202
5-9-2016,174.02
6-9-2016,177.031
7-9-2016,179.131
8-9-2016,178.096
9-9-2016,179.48
10-9-2016,178.811
11-9-2016,177.796
12-9-2016,179.634
13-9-2016,180.928
14-9-2016,183.951
15-9-2016,182.853
16-9-2016,181.316
17-9-2016,179.61
18-9-2016,177.546
19-9-2016,176.5
20-9-2016,176.195
21-9-2016,179.36
22-9-2016,183.038
23-9-2016,181.542
24-9-2016,181.164
25-9-2016,178.35
26-9-2016,179.743
27-9-2016,183.258
28-9-2016,182.92
29-9-2016,179.031
30-9-2016,179.244
1-10-2016,182.349
2-10-2016,180.249
3-10-2016,175.892
4-10-2016,179.245
5-10-2016,178.791
6-10-2016,175.092
7-10-2016,174.619
8-10-2016,178.049
9-10-2016,177.022
10-10-2016,180.111
11-10-2016,182.154
12-10-2016,180.994
13-10-2016,182.719
14-10-2016,184.209
15-10-2016,184.217
16-10-2016,181.948
17-10-2016,177.539
18-10-2016,176.73
19-10-2016,182.22
20-10-2016,181.598
21-10-2016,173.926
22-10-2016,178.62
23-10-2016,178.422
24-10-2016,174.808
25-10-2016,171.338
26-10-2016,169.49
27-10-2016,162.955
28-10-2016,165.167
29-10-2016,158.136
30-10-2016,158.09
31-10-2016,159.481
1-11-2016,165.036
2-11-2016,175.234
3-11-2016,179.86
4-11-2016,182.64
5-11-2016,185.431
6-11-2016,183.04
7-11-2016,183.096
8-11-2016,187.749
9-11-2016,184.946
10-11-2016,186.747
11-11-2016,185.911
12-11-2016,186.675
13-11-2016,184.609
14-11-2016,184.819
15-11-2016,183.644
16-11-2016,182.27
17-11-2016,184.085
18-11-2016,184.572
19-11-2016,186.515
20-11-2016,179.043
21-11-2016,172.118
22-11-2016,179.222
23-11-2016,177.232
24-11-2016,163.037
25-11-2016,164.508
26-11-2016,165.606
27-11-2016,164.817
28-11-2016,166.144
29-11-2016,177.19
30-11-2016,183.869
1-12-2016,185.85
2-12-2016,186.85
3-12-2016,190.088
4-12-2016,188.111
5-12-2016,189.15
6-12-2016,191.269
7-12-2016,193.32
8-12-2016,191.308
9-12-2016,195.924
10-12-2016,198.748
11-12-2016,195.301
12-12-2016,193.802
13-12-2016,192.376
14-12-2016,189.645
15-12-2016,189.237
16-12-2016,188.543
17-12-2016,187.802
18-12-2016,183.515
19-12-2016,181.17
20-12-2016,182.04
21-12-2016,185.406
22-12-2016,178.865
23-12-2016,169.405
24-12-2016,179.132
25-12-2016,192.283
26-12-2016,192.934
27-12-2016,194.426
28-12-2016,194.036
29-12-2016,191.541
30-12-2016,187.708
31-12-2016,188.362
1-1-2017,184.939
2-1-2017,185.638
3-1-2017,203.332
4-1-2017,205.32
5-1-2017,206.008
6-1-2017,206.007
7-1-2017,207.71
8-1-2017,207.103
9-1-2017,209.205
10-1-2017,214.57
11-1-2017,213.3
12-1-2017,211.469
13-1-2017,209.62
14-1-2017,210.908
15-1-2017,210.952
16-1-2017,210.206
17-1-2017,211.376
18-1-2017,214.119
19-1-2017,213.423
20-1-2017,209.149
21-1-2017,211.511
22-1-2017,213.243
23-1-2017,221.467
24-1-2017,222.399
25-1-2017,226.91
26-1-2017,226.653
27-1-2017,227.516
28-1-2017,231.351
29-1-2017,229.86
30-1-2017,232.647
31-1-2017,236.637
1-2-2017,230.192
2-2-2017,229.219
3-2-2017,232.675
4-2-2017,232.876
5-2-2017,232.401
6-2-2017,232.166
7-2-2017,237.558
8-2-2017,237.617
9-2-2017,240.833
10-2-2017,242.922
11-2-2017,246.11
12-2-2017,244.759
13-2-2017,241.204
14-2-2017,246.849
15-2-2017,242.985
16-2-2017,247.232
17-2-2017,245.63
18-2-2017,241.321
19-2-2017,234.546
20-2-2017,236.439
21-2-2017,241.817
22-2-2017,244.357
23-2-2017,243.66
24-2-2017,247.677
25-2-2017,248.801
26-2-2017,245.315
27-2-2017,244.041
28-2-2017,243.313
1-3-2017,251.225
2-3-2017,256.364
3-3-2017,254.489
4-3-2017,250.337
5-3-2017,250.496
6-3-2017,253.458
7-3-2017,255.258
8-3-2017,256.255
9-3-2017,252.673
10-3-2017,255.267
11-3-2017,255.592
12-3-2017,251.277
13-3-2017,251.895
14-3-2017,264.074
15-3-2017,263.848
16-3-2017,269.125
17-3-2017,260.485
18-3-2017,262.69
19-3-2017,256.371
20-3-2017,257.775
21-3-2017,260.123
22-3-2017,259.583
23-3-2017,258.029
24-3-2017,250.479
25-3-2017,249.695
26-3-2017,244.292
27-3-2017,238.092
28-3-2017,248.106
29-3-2017,244.156
30-3-2017,247.373
31-3-2017,253.695
1-4-2017,255.395
2-4-2017,252.142
3-4-2017,255.333
4-4-2017,258.026
5-4-2017,256.538
6-4-2017,254.691
7-4-2017,254.204
8-4-2017,253.114
9-4-2017,252.585
10-4-2017,251.285
11-4-2017,255.213
12-4-2017,252.694
13-4-2017,250.733
14-4-2017,251.169
15-4-2017,254.285
16-4-2017,255.047
17-4-2017,254.803
18-4-2017,257.145
19-4-2017,256.912
20-4-2017,259.396
21-4-2017,261.383
22-4-2017,261.161
23-4-2017,259.242
24-4-2017,259.46
25-4-2017,256.55
26-4-2017,258.291
27-4-2017,258.696
28-4-2017,258.315
29-4-2017,261.801
30-4-2017,262.599
1-5-2017,259.763
2-5-2017,265.557
3-5-2017,262.987
4-5-2017,262.628
5-5-2017,249.144
6-5-2017,257.347
7-5-2017,257.576
8-5-2017,257.949
9-5-2017,258.096
10-5-2017,255.688
11-5-2017,257.986
12-5-2017,261.733
13-5-2017,264.749
14-5-2017,260.096
15-5-2017,261.486
16-5-2017,265.866
17-5-2017,267.192
18-5-2017,265.54
19-5-2017,268.613
20-5-2017,271.405
21-5-2017,266.246
22-5-2017,265.007
23-5-2017,269.689
24-5-2017,222.109
25-5-2017,228.154
26-5-2017,234.816
27-5-2017,242.805
28-5-2017,241.668
29-5-2017,244.628
30-5-2017,242.193
31-5-2017,247.517
1-6-2017,253.967
2-6-2017,255.143
3-6-2017,257.15
4-6-2017,255.013
5-6-2017,254.435
6-6-2017,260.342
7-6-2017,256.912
8-6-2017,250.834
9-6-2017,254.474
10-6-2017,251.368
11-6-2017,251.263
12-6-2017,249.95
13-6-2017,249.534
14-6-2017,246.821
15-6-2017,245.683
16-6-2017,241.389
17-6-2017,242.953
18-6-2017,240.267
19-6-2017,246.874
20-6-2017,246.769
21-6-2017,240.156
22-6-2017,227.079
23-6-2017,219.6
24-6-2017,217.583
25-6-2017,217.79
26-6-2017,223.31
27-6-2017,229.414
28-6-2017,230.465
29-6-2017,229.836
30-6-2017,228.88
1-7-2017,231.377
2-7-2017,229.886
3-7-2017,228.864
4-7-2017,230.05
5-7-2017,233.76
6-7-2017,245.105
7-7-2017,248.789
8-7-2017,243.941
9-7-2017,242.284
10-7-2017,245.129
11-7-2017,249.885
12-7-2017,251.169
13-7-2017,245.448
14-7-2017,245.134
15-7-2017,248.127
16-7-2017,249.856
17-7-2017,252.464
18-7-2017,255.86
19-7-2017,259.297
20-7-2017,258.346
21-7-2017,260.65
22-7-2017,258.261
23-7-2017,245.563
24-7-2017,252.111
25-7-2017,260.95
26-7-2017,266.94
27-7-2017,272.445
28-7-2017,269.944
29-7-2017,269.279
30-7-2017,263.633
31-7-2017,266.339
1-8-2017,268.956
2-8-2017,266.638
3-8-2017,268.391
4-8-2017,272.2
5-8-2017,279.027
6-8-2017,274.215
7-8-2017,279.502
8-8-2017,278.351
9-8-2017,285.79
10-8-2017,283.353
